Employee ID,Joining Date,Salary,Total Customers Handled,Overall Sentiment Score,Feedback ID,Customer ID,Feedback Date,Feedback Text,Sentiment Score,Rating,Improvement Areas
6,2019-10-12,52285,484,0.43,F6002,C70816,2024-06-06,"Excellent service, highly recommend!",0.37,3,Patience
6,2019-10-12,52285,484,0.43,F6003,C70366,2020-07-15,"The service was good, but the employee could improve voice modulation.",0.96,2,None
6,2019-10-12,52285,484,0.43,F6004,C89762,2021-04-24,The employee needs to be more polite and resolve issues faster.,0.11,2,Problem Solving
7,2021-11-30,51214,291,0.28,F7001,C14091,2023-10-13,"Satisfied with the service, but there’s room for improvement in tone.",0.42,2,Voice Modulation
7,2021-11-30,51214,291,0.28,F7002,C39737,2023-01-24,"Great service, solved my issue quickly!",0.18,1,Patience
7,2021-11-30,51214,291,0.28,F7003,C77157,2022-04-08,The employee needs to be more polite and resolve issues faster.,0.18,2,Politeness
7,2021-11-30,51214,291,0.28,F7004,C99646,2023-11-30,"The service was good, but the employee could improve voice modulation.",0.61,5,None
7,2021-11-30,51214,291,0.28,F7005,C41095,2024-02-24,"Excellent service, highly recommend!",0.3,1,Technical Knowledge
7,2021-11-30,51214,291,0.28,F7006,C46454,2022-07-28,"Excellent service, highly recommend!",0.0,4,Empathy
8,2024-03-29,53947,482,0.03,F8001,C97611,2024-09-09,"Great service, solved my issue quickly!",-0.04,1,Listening Skills
8,2024-03-29,53947,482,0.03,F8002,C64174,2024-06-29,"Employee was rude, and the issue took too long to resolve.",-0.94,5,Communication Skills
8,2024-03-29,53947,482,0.03,F8003,C36676,2024-08-13,"Satisfied with the service, but there’s room for improvement in tone.",0.34,1,Time Management
8,2024-03-29,53947,482,0.03,F8004,C14853,2024-08-21,"Communication was unclear, but the problem was solved eventually.",0.01,5,Time Management
8,2024-03-29,53947,482,0.03,F8005,C86107,2024-08-27,The employee needs to be more polite and resolve issues faster.,0.37,1,Voice Modulation
8,2024-03-29,53947,482,0.03,F8006,C11876,2024-07-20,The employee needs to be more polite and resolve issues faster.,0.45,3,Clarity of Explanation
9,2024-05-31,56941,308,0.13,F9001,C64861,2024-07-28,"The service was good, but the employee could improve voice modulation.",0.94,5,None
9,2024-05-31,56941,308,0.13,F9002,C25514,2024-06-12,The employee needs to be more polite and resolve issues faster.,0.46,5,Problem Solving
9,2024-05-31,56941,308,0.13,F9003,C30007,2024-06-25,"Excellent service, highly recommend!",-0.01,1,Time Management
9,2024-05-31,56941,308,0.13,F9004,C97049,2024-06-16,The employee needs to be more polite and resolve issues faster.,0.07,4,Listening Skills
9,2024-05-31,56941,308,0.13,F9005,C72875,2024-07-15,Employee was very helpful and resolved the issue in no time.,0.25,5,Problem Solving
9,2024-05-31,56941,308,0.13,F9006,C49087,2024-09-21,"Employee was rude, and the issue took too long to resolve.",-0.91,4,Politeness
10,2024-06-16,49089,200,0.14,F10001,C16670,2024-08-03,"Satisfied with the service, but there’s room for improvement in tone.",0.43,5,Problem Solving
10,2024-06-16,49089,200,0.14,F10002,C5372,2024-07-12,"Satisfied with the service, but there’s room for improvement in tone.",-0.08,1,Language
10,2024-06-16,49089,200,0.14,F10003,C58662,2024-09-03,"Great service, solved my issue quickly!",-0.1,5,Behavior
10,2024-06-16,49089,200,0.14,F10004,C31012,2024-09-02,"Great service, solved my issue quickly!",0.48,2,None
10,2024-06-16,49089,200,0.14,F10005,C2735,2024-08-04,The employee needs to be more polite and resolve issues faster.,-0.04,3,Empathy
11,2020-08-27,47759,438,0.17,F11001,C72374,2022-08-12,"Excellent service, highly recommend!",0.45,5,Technical Knowledge
11,2020-08-27,47759,438,0.17,F11002,C80172,2021-04-22,The employee needs to be more polite and resolve issues faster.,0.22,4,Voice Modulation
11,2020-08-27,47759,438,0.17,F11003,C83253,2022-08-03,"Satisfied with the service, but there’s room for improvement in tone.",0.37,4,Behavior
11,2020-08-27,47759,438,0.17,F11004,C61276,2023-04-15,It took too long to resolve the issue.,-0.88,1,Language
11,2020-08-27,47759,438,0.17,F11005,C23093,2021-05-02,"Had a great experience, but communication could be better.",0.68,3,None
12,2022-05-20,52049,217,0.12,F12001,C20212,2023-04-08,"Satisfied with the service, but there’s room for improvement in tone.",0.36,4,Politeness
12,2022-05-20,52049,217,0.12,F12002,C86048,2024-08-19,"Great service, solved my issue quickly!",0.0,5,Time Management
12,2022-05-20,52049,217,0.12,F12003,C87522,2022-10-31,"Communication was unclear, but the problem was solved eventually.",-0.01,3,Empathy
13,2022-11-21,52178,235,0.42,F13001,C79814,2022-12-15,"Satisfied with the service, but there’s room for improvement in tone.",0.15,2,Patience
13,2022-11-21,52178,235,0.42,F13002,C91848,2024-07-23,"Satisfied with the service, but there’s room for improvement in tone.",0.24,5,None
13,2022-11-21,52178,235,0.42,F13003,C74119,2023-05-03,Employee was very helpful and resolved the issue in no time.,0.49,2,Voice Modulation
13,2022-11-21,52178,235,0.42,F13004,C65385,2024-07-19,"The service was good, but the employee could improve voice modulation.",0.81,2,None
14,2021-06-01,51714,446,0.45,F14001,C81927,2022-10-23,"Great service, solved my issue quickly!",-0.06,2,Communication Skills
14,2021-06-01,51714,446,0.45,F14002,C93001,2022-03-08,"Had a great experience, but communication could be better.",1.0,5,None
14,2021-06-01,51714,446,0.45,F14003,C68512,2022-01-22,Employee was very helpful and resolved the issue in no time.,0.49,3,Behavior
14,2021-06-01,51714,446,0.45,F14004,C92664,2022-02-24,Employee was very helpful and resolved the issue in no time.,0.14,2,Empathy
14,2021-06-01,51714,446,0.45,F14005,C17664,2022-10-12,"Had a great experience, but communication could be better.",0.84,3,None
14,2021-06-01,51714,446,0.45,F14006,C68930,2022-08-29,"Satisfied with the service, but there’s room for improvement in tone.",0.25,5,Behavior
14,2021-06-01,51714,446,0.45,F14007,C52937,2021-11-03,"Had a great experience, but communication could be better.",0.68,4,None
14,2021-06-01,51714,446,0.45,F14008,C54881,2022-04-29,The employee needs to be more polite and resolve issues faster.,0.3,4,Technical Knowledge
15,2024-05-05,46162,311,-0.28,F15001,C87810,2024-05-28,It took too long to resolve the issue.,-0.62,1,Problem Solving
15,2024-05-05,46162,311,-0.28,F15002,C29681,2024-06-18,"Great service, solved my issue quickly!",0.07,2,Voice Modulation
15,2024-05-05,46162,311,-0.28,F15003,C29385,2024-08-16,"Employee was rude, and the issue took too long to resolve.",-0.51,3,Behavior
15,2024-05-05,46162,311,-0.28,F15004,C37128,2024-08-18,"Employee was rude, and the issue took too long to resolve.",-0.9,4,None
15,2024-05-05,46162,311,-0.28,F15005,C874,2024-05-14,Employee was very helpful and resolved the issue in no time.,0.04,4,Communication Skills
15,2024-05-05,46162,311,-0.28,F15006,C69717,2024-05-30,"Communication was unclear, but the problem was solved eventually.",0.25,1,Language
16,2021-08-28,54541,405,0.44,F16001,C46397,2023-10-20,"Excellent service, highly recommend!",-0.04,1,Politeness
16,2021-08-28,54541,405,0.44,F16002,C47740,2024-04-18,Employee was very helpful and resolved the issue in no time.,0.45,1,Time Management
16,2021-08-28,54541,405,0.44,F16003,C7196,2023-02-24,"Had a great experience, but communication could be better.",0.84,5,None
16,2021-08-28,54541,405,0.44,F16004,C3558,2022-03-12,"The service was good, but the employee could improve voice modulation.",0.94,4,None
16,2021-08-28,54541,405,0.44,F16005,C71892,2024-09-10,The employee needs to be more polite and resolve issues faster.,0.48,5,Problem Solving
16,2021-08-28,54541,405,0.44,F16006,C67660,2021-10-06,"Communication was unclear, but the problem was solved eventually.",0.45,1,Time Management
16,2021-08-28,54541,405,0.44,F16007,C17764,2022-08-06,"Communication was unclear, but the problem was solved eventually.",0.37,5,Clarity of Explanation
16,2021-08-28,54541,405,0.44,F16008,C34226,2023-06-01,"Satisfied with the service, but there’s room for improvement in tone.",0.05,5,Problem Solving
16,2021-08-28,54541,405,0.44,F16009,C64808,2021-11-09,"Excellent service, highly recommend!",0.4,4,Patience
17,2024-04-02,54392,299,-0.11,F17001,C35782,2024-04-04,"Communication was unclear, but the problem was solved eventually.",0.4,3,Behavior
17,2024-04-02,54392,299,-0.11,F17002,C20575,2024-05-04,"Employee was rude, and the issue took too long to resolve.",-0.78,5,Technical Knowledge
17,2024-04-02,54392,299,-0.11,F17003,C63169,2024-06-17,"Excellent service, highly recommend!",0.05,3,Politeness
18,2022-10-20,48183,127,-0.21,F18001,C65427,2024-05-14,"Had a great experience, but communication could be better.",0.86,1,None
18,2022-10-20,48183,127,-0.21,F18002,C53679,2024-09-11,"Employee was rude, and the issue took too long to resolve.",-0.88,5,Language
18,2022-10-20,48183,127,-0.21,F18003,C51249,2024-03-24,"Employee was rude, and the issue took too long to resolve.",-0.62,5,Problem Solving
19,2020-12-01,50499,463,0.07,F19001,C11624,2024-01-15,"The service was good, but the employee could improve voice modulation.",0.57,1,None
19,2020-12-01,50499,463,0.07,F19002,C8898,2022-06-25,"Had a great experience, but communication could be better.",0.59,2,None
19,2020-12-01,50499,463,0.07,F19003,C40246,2023-04-23,"Great service, solved my issue quickly!",0.04,5,Voice Modulation
19,2020-12-01,50499,463,0.07,F19004,C36332,2023-06-04,"Employee was rude, and the issue took too long to resolve.",-0.56,3,Politeness
19,2020-12-01,50499,463,0.07,F19005,C71812,2024-02-04,"The service was good, but the employee could improve voice modulation.",0.61,1,None
19,2020-12-01,50499,463,0.07,F19006,C21139,2023-06-03,It took too long to resolve the issue.,-0.86,2,Patience
20,2019-11-10,58051,285,0.12,F20001,C89927,2021-02-03,"Had a great experience, but communication could be better.",0.61,3,None
20,2019-11-10,58051,285,0.12,F20002,C98535,2021-02-02,"Great service, solved my issue quickly!",0.11,3,Problem Solving
20,2019-11-10,58051,285,0.12,F20003,C36138,2023-02-07,"Communication was unclear, but the problem was solved eventually.",-0.1,4,Clarity of Explanation
20,2019-11-10,58051,285,0.12,F20004,C72071,2022-10-05,It took too long to resolve the issue.,-0.99,3,Behavior
20,2019-11-10,58051,285,0.12,F20005,C74651,2021-01-22,"Had a great experience, but communication could be better.",0.96,5,None
21,2021-10-04,45990,107,0.18,F21001,C14401,2023-01-01,"Excellent service, highly recommend!",0.29,2,Listening Skills
21,2021-10-04,45990,107,0.18,F21002,C21903,2022-11-25,"Had a great experience, but communication could be better.",0.64,4,None
21,2021-10-04,45990,107,0.18,F21003,C32959,2023-12-27,"Excellent service, highly recommend!",-0.04,2,Problem Solving
21,2021-10-04,45990,107,0.18,F21004,C33474,2022-04-16,It took too long to resolve the issue.,-0.61,1,Communication Skills
21,2021-10-04,45990,107,0.18,F21005,C26323,2022-07-19,"Communication was unclear, but the problem was solved eventually.",-0.07,4,Clarity of Explanation
21,2021-10-04,45990,107,0.18,F21006,C6223,2022-07-05,"Had a great experience, but communication could be better.",0.9,1,None
22,2019-11-23,50554,189,0.24,F22001,C87281,2023-07-01,"Satisfied with the service, but there’s room for improvement in tone.",-0.06,5,None
22,2019-11-23,50554,189,0.24,F22002,C52505,2021-08-02,"Great service, solved my issue quickly!",-0.01,4,None
22,2019-11-23,50554,189,0.24,F22003,C28688,2022-09-23,"Great service, solved my issue quickly!",0.36,5,Communication Skills
22,2019-11-23,50554,189,0.24,F22004,C30295,2021-02-10,"Excellent service, highly recommend!",0.36,4,Time Management
22,2019-11-23,50554,189,0.24,F22005,C29972,2023-09-18,"Communication was unclear, but the problem was solved eventually.",0.35,2,Patience
22,2019-11-23,50554,189,0.24,F22006,C91433,2020-09-15,"Great service, solved my issue quickly!",0.01,2,Clarity of Explanation
22,2019-11-23,50554,189,0.24,F22007,C50183,2024-05-23,"Had a great experience, but communication could be better.",0.8,1,None
22,2019-11-23,50554,189,0.24,F22008,C15452,2024-04-03,"Excellent service, highly recommend!",0.09,4,Behavior
23,2024-06-24,54365,489,0.1,F23001,C74498,2024-06-25,"Employee was rude, and the issue took too long to resolve.",-0.51,2,Politeness
23,2024-06-24,54365,489,0.1,F23002,C88162,2024-08-29,"Satisfied with the service, but there’s room for improvement in tone.",0.29,2,Language
23,2024-06-24,54365,489,0.1,F23003,C20046,2024-09-23,"Had a great experience, but communication could be better.",0.83,1,None
23,2024-06-24,54365,489,0.1,F23004,C6409,2024-08-24,Employee was very helpful and resolved the issue in no time.,0.47,5,Politeness
23,2024-06-24,54365,489,0.1,F23005,C43171,2024-07-24,"Great service, solved my issue quickly!",0.04,2,Empathy
23,2024-06-24,54365,489,0.1,F23006,C82233,2024-08-25,"The service was good, but the employee could improve voice modulation.",0.6,4,None
23,2024-06-24,54365,489,0.1,F23007,C44211,2024-06-25,"Employee was rude, and the issue took too long to resolve.",-0.71,1,None
23,2024-06-24,54365,489,0.1,F23008,C32728,2024-08-13,It took too long to resolve the issue.,-0.53,4,Communication Skills
23,2024-06-24,54365,489,0.1,F23009,C41633,2024-08-24,"Great service, solved my issue quickly!",0.27,2,Behavior
23,2024-06-24,54365,489,0.1,F23010,C39934,2024-08-25,Employee was very helpful and resolved the issue in no time.,0.28,2,Empathy
24,2022-05-10,49220,145,-0.19,F24001,C69456,2024-01-12,"Satisfied with the service, but there’s room for improvement in tone.",0.04,3,Behavior
24,2022-05-10,49220,145,-0.19,F24002,C25788,2023-05-30,It took too long to resolve the issue.,-0.7,3,Patience
24,2022-05-10,49220,145,-0.19,F24003,C20208,2022-10-02,"Satisfied with the service, but there’s room for improvement in tone.",-0.01,1,Politeness
24,2022-05-10,49220,145,-0.19,F24004,C24563,2022-06-12,"Communication was unclear, but the problem was solved eventually.",0.18,3,Technical Knowledge
24,2022-05-10,49220,145,-0.19,F24005,C20586,2022-12-23,It took too long to resolve the issue.,-0.73,1,Language
24,2022-05-10,49220,145,-0.19,F24006,C91018,2023-01-05,"Excellent service, highly recommend!",0.38,1,Behavior
24,2022-05-10,49220,145,-0.19,F24007,C31201,2023-03-07,Employee was very helpful and resolved the issue in no time.,-0.04,1,Listening Skills
24,2022-05-10,49220,145,-0.19,F24008,C97698,2024-06-10,"Employee was rude, and the issue took too long to resolve.",-0.64,5,Clarity of Explanation
25,2022-07-23,51350,424,0.32,F25001,C52844,2022-12-19,"The service was good, but the employee could improve voice modulation.",0.83,5,None
25,2022-07-23,51350,424,0.32,F25002,C62243,2023-07-27,"The service was good, but the employee could improve voice modulation.",0.71,3,None
25,2022-07-23,51350,424,0.32,F25003,C34085,2022-10-12,"Employee was rude, and the issue took too long to resolve.",-0.87,3,Patience
25,2022-07-23,51350,424,0.32,F25004,C38084,2023-11-12,"Had a great experience, but communication could be better.",0.61,1,None
26,2024-06-07,55238,429,-0.14,F26001,C45532,2024-07-09,It took too long to resolve the issue.,-0.63,2,Communication Skills
26,2024-06-07,55238,429,-0.14,F26002,C12253,2024-07-17,Employee was very helpful and resolved the issue in no time.,0.31,3,Empathy
26,2024-06-07,55238,429,-0.14,F26003,C96374,2024-07-27,The employee needs to be more polite and resolve issues faster.,0.22,1,Technical Knowledge
26,2024-06-07,55238,429,-0.14,F26004,C40091,2024-07-02,The employee needs to be more polite and resolve issues faster.,0.07,2,Behavior
26,2024-06-07,55238,429,-0.14,F26005,C73841,2024-09-27,It took too long to resolve the issue.,-0.88,3,Listening Skills
26,2024-06-07,55238,429,-0.14,F26006,C8209,2024-08-15,"Great service, solved my issue quickly!",0.1,3,Politeness
27,2021-10-02,50309,274,-0.23,F27001,C47629,2022-08-09,"Great service, solved my issue quickly!",0.43,2,Problem Solving
27,2021-10-02,50309,274,-0.23,F27002,C67959,2022-12-22,"Employee was rude, and the issue took too long to resolve.",-0.51,1,Patience
27,2021-10-02,50309,274,-0.23,F27003,C13234,2022-05-01,"Satisfied with the service, but there’s room for improvement in tone.",0.1,5,Communication Skills
27,2021-10-02,50309,274,-0.23,F27004,C93118,2021-10-19,It took too long to resolve the issue.,-0.93,1,Voice Modulation
28,2021-04-09,53834,384,0.31,F28001,C80939,2023-10-07,"Communication was unclear, but the problem was solved eventually.",0.35,5,Politeness
28,2021-04-09,53834,384,0.31,F28002,C27480,2021-08-22,The employee needs to be more polite and resolve issues faster.,0.07,1,Listening Skills
28,2021-04-09,53834,384,0.31,F28003,C78722,2023-07-01,"Communication was unclear, but the problem was solved eventually.",0.34,2,None
28,2021-04-09,53834,384,0.31,F28004,C33752,2022-08-14,"Had a great experience, but communication could be better.",0.74,1,None
28,2021-04-09,53834,384,0.31,F28005,C71786,2021-11-20,"Great service, solved my issue quickly!",0.05,1,Problem Solving
29,2021-02-19,50227,169,0.21,F29001,C31873,2023-02-15,"The service was good, but the employee could improve voice modulation.",0.56,4,None
29,2021-02-19,50227,169,0.21,F29002,C68968,2023-04-18,The employee needs to be more polite and resolve issues faster.,0.28,4,Listening Skills
29,2021-02-19,50227,169,0.21,F29003,C55267,2021-07-08,"The service was good, but the employee could improve voice modulation.",0.57,4,None
29,2021-02-19,50227,169,0.21,F29004,C40420,2024-02-03,Employee was very helpful and resolved the issue in no time.,0.03,2,Voice Modulation
29,2021-02-19,50227,169,0.21,F29005,C84396,2023-06-26,It took too long to resolve the issue.,-0.87,5,Listening Skills
29,2021-02-19,50227,169,0.21,F29006,C49484,2024-07-02,The employee needs to be more polite and resolve issues faster.,0.49,5,Time Management
29,2021-02-19,50227,169,0.21,F29007,C70907,2023-03-06,"Great service, solved my issue quickly!",0.14,2,Listening Skills
29,2021-02-19,50227,169,0.21,F29008,C14800,2022-09-21,"Satisfied with the service, but there’s room for improvement in tone.",0.46,4,Problem Solving
30,2024-06-15,47914,263,-0.12,F30001,C20409,2024-09-09,"Great service, solved my issue quickly!",0.17,1,Communication Skills
30,2024-06-15,47914,263,-0.12,F30002,C89095,2024-07-04,"Satisfied with the service, but there’s room for improvement in tone.",0.26,4,Communication Skills
30,2024-06-15,47914,263,-0.12,F30003,C41143,2024-07-23,"Satisfied with the service, but there’s room for improvement in tone.",0.01,3,Communication Skills
30,2024-06-15,47914,263,-0.12,F30004,C57833,2024-08-26,It took too long to resolve the issue.,-0.93,1,Politeness
30,2024-06-15,47914,263,-0.12,F30005,C98253,2024-06-18,It took too long to resolve the issue.,-0.6,3,Politeness
30,2024-06-15,47914,263,-0.12,F30006,C50115,2024-06-28,The employee needs to be more polite and resolve issues faster.,0.37,3,Behavior
31,2021-07-25,50014,301,0.48,F31001,C3974,2021-10-08,"Excellent service, highly recommend!",0.36,1,Problem Solving
31,2021-07-25,50014,301,0.48,F31002,C78708,2023-04-21,"Great service, solved my issue quickly!",0.44,4,Behavior
31,2021-07-25,50014,301,0.48,F31003,C83659,2024-06-11,"Great service, solved my issue quickly!",0.17,4,Language
31,2021-07-25,50014,301,0.48,F31004,C13254,2021-08-17,"Had a great experience, but communication could be better.",0.93,1,None
32,2019-10-31,47410,299,0.21,F32001,C68369,2023-11-05,The employee needs to be more polite and resolve issues faster.,0.38,2,None
32,2019-10-31,47410,299,0.21,F32002,C21573,2024-02-21,Employee was very helpful and resolved the issue in no time.,0.04,4,Politeness
32,2019-10-31,47410,299,0.21,F32003,C73909,2021-10-27,"Had a great experience, but communication could be better.",0.68,3,None
32,2019-10-31,47410,299,0.21,F32004,C22043,2023-09-17,"Great service, solved my issue quickly!",0.1,1,Problem Solving
32,2019-10-31,47410,299,0.21,F32005,C88301,2020-02-19,"Employee was rude, and the issue took too long to resolve.",-0.54,4,Problem Solving
32,2019-10-31,47410,299,0.21,F32006,C62006,2020-04-09,"Satisfied with the service, but there’s room for improvement in tone.",-0.0,2,Clarity of Explanation
32,2019-10-31,47410,299,0.21,F32007,C572,2022-08-10,The employee needs to be more polite and resolve issues faster.,0.25,1,Language
32,2019-10-31,47410,299,0.21,F32008,C20729,2024-08-06,"Had a great experience, but communication could be better.",0.89,5,None
32,2019-10-31,47410,299,0.21,F32009,C52436,2022-04-15,"Great service, solved my issue quickly!",0.13,1,Clarity of Explanation
33,2024-05-03,50985,206,-0.16,F33001,C29822,2024-08-25,The employee needs to be more polite and resolve issues faster.,-0.0,3,None
33,2024-05-03,50985,206,-0.16,F33002,C82783,2024-06-06,It took too long to resolve the issue.,-0.51,1,Empathy
33,2024-05-03,50985,206,-0.16,F33003,C70289,2024-08-21,"Excellent service, highly recommend!",-0.05,1,None
33,2024-05-03,50985,206,-0.16,F33004,C68621,2024-05-14,It took too long to resolve the issue.,-0.9,4,Listening Skills
33,2024-05-03,50985,206,-0.16,F33005,C73295,2024-05-23,"Great service, solved my issue quickly!",-0.1,4,Voice Modulation
33,2024-05-03,50985,206,-0.16,F33006,C70851,2024-08-06,Employee was very helpful and resolved the issue in no time.,0.05,3,Patience
33,2024-05-03,50985,206,-0.16,F33007,C77102,2024-07-14,Employee was very helpful and resolved the issue in no time.,0.38,1,Communication Skills
34,2021-07-17,49140,129,0.63,F34001,C88172,2024-03-12,Employee was very helpful and resolved the issue in no time.,0.3,1,Clarity of Explanation
34,2021-07-17,49140,129,0.63,F34002,C71036,2022-07-19,The employee needs to be more polite and resolve issues faster.,0.35,1,Politeness
34,2021-07-17,49140,129,0.63,F34003,C27946,2023-12-27,"The service was good, but the employee could improve voice modulation.",0.92,2,None
34,2021-07-17,49140,129,0.63,F34004,C86251,2021-12-21,"Had a great experience, but communication could be better.",0.96,5,None
35,2022-01-19,54763,278,-0.37,F35001,C50367,2022-10-18,"Employee was rude, and the issue took too long to resolve.",-0.79,1,Clarity of Explanation
35,2022-01-19,54763,278,-0.37,F35002,C45191,2023-09-04,Employee was very helpful and resolved the issue in no time.,0.14,4,Listening Skills
35,2022-01-19,54763,278,-0.37,F35003,C60731,2022-01-29,"Excellent service, highly recommend!",0.48,5,Technical Knowledge
35,2022-01-19,54763,278,-0.37,F35004,C72944,2022-07-12,It took too long to resolve the issue.,-0.87,5,Technical Knowledge
35,2022-01-19,54763,278,-0.37,F35005,C13487,2022-02-12,It took too long to resolve the issue.,-1.0,3,Language
35,2022-01-19,54763,278,-0.37,F35006,C39407,2022-06-19,"Employee was rude, and the issue took too long to resolve.",-0.97,1,Time Management
35,2022-01-19,54763,278,-0.37,F35007,C94970,2024-07-23,"Communication was unclear, but the problem was solved eventually.",0.44,4,Problem Solving
36,2022-11-04,47612,181,-0.08,F36001,C76671,2023-09-08,"Excellent service, highly recommend!",-0.08,1,Empathy
36,2022-11-04,47612,181,-0.08,F36002,C25455,2023-02-20,"Employee was rude, and the issue took too long to resolve.",-0.71,3,Listening Skills
36,2022-11-04,47612,181,-0.08,F36003,C40543,2023-08-19,"Employee was rude, and the issue took too long to resolve.",-0.82,2,Language
36,2022-11-04,47612,181,-0.08,F36004,C66546,2023-08-24,"Great service, solved my issue quickly!",-0.0,2,Politeness
36,2022-11-04,47612,181,-0.08,F36005,C34624,2023-10-01,"Excellent service, highly recommend!",0.16,1,Behavior
36,2022-11-04,47612,181,-0.08,F36006,C7581,2024-02-17,"Had a great experience, but communication could be better.",0.96,1,None
37,2021-09-21,55409,458,-0.51,F37001,C6734,2024-03-03,It took too long to resolve the issue.,-0.99,1,Patience
37,2021-09-21,55409,458,-0.51,F37002,C81980,2022-06-27,"Employee was rude, and the issue took too long to resolve.",-0.55,3,None
37,2021-09-21,55409,458,-0.51,F37003,C76151,2024-01-21,"Excellent service, highly recommend!",0.02,5,Behavior
38,2022-09-28,51770,311,0.14,F38001,C92749,2024-08-19,"Great service, solved my issue quickly!",-0.02,4,Voice Modulation
38,2022-09-28,51770,311,0.14,F38002,C44364,2022-12-31,The employee needs to be more polite and resolve issues faster.,0.01,1,Listening Skills
